title,description,short_description,category,stock,price,regular_price,sales_price,weight,length,width,height,sku,picture,tags,tax_status,tax_class
"Towards Understanding the Quran (Vol 3, Surahs 7-9) ","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.28,,,,9.78086E+12,9780860372059.jpg,Paperback|Abul A'la Mawdudi|1990|344|The Islamic Foundation,non-taxable,zero-rate
"Towards Understanding the Quran (Vol 4, Surahs 10-16) ","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.28,,,,9.78086E+12,9780860372301.jpg,Paperback|Abul A'la Mawdudi|1993|424|The Islamic Foundation,non-taxable,zero-rate
"Towards Understanding the Quran (Vol 5, Surahs 17-21) ","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.28,,,,9.78086E+12,9780860372561.jpg,Paperback|Abul A'la Mawdudi|1995|352|The Islamic Foundation,non-taxable,zero-rate
"Towards Understanding the Quran (Vol 6, Surahs 22-24) ","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.28,,,,9.78086E+12,9780860372936.jpg,Hardback|Abul A'la Mawdudi|1998|314|The Islamic Foundation,non-taxable,zero-rate
"Towards Understanding the Quran (Vol 6, Surahs 22-24) ","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.28,,,,9.78086E+12,9780860372943.jpg,Paperback|Abul A'la Mawdudi|1998|314|The Islamic Foundation,non-taxable,zero-rate
"Towards Understanding the Quran (Vol 7, Surahs 25-28)","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.29,,,,9.78086E+12,9780860373902.jpg,Hardback|Abul A'la Mawdudi|2000|291|The Islamic Foundation,non-taxable,zero-rate
"Towards Understanding the Quran (Vol 7, Surahs 25-28) ","A lively and highly readable English rendering of Tafhim al-Quran. This Tafsir answers contemporary questions and makes the Quran fully relevant to the concerns of our day, yet it loses none of its timelessness nor sacrifices any of the traditional understanding. Each surah is prefaced by an account of the background and teachings. Maps and indexes add greatly to the work.",,Games & Posters,10,3.29,3.29,3.29,0.13,,,,9.78086E+12,9780860373858.jpg,Paperback|Abul A'la Mawdudi|2000|291|The Islamic Foundation,non-taxable,zero-rate
Towards Understanding the Quran Abridged Version,"The Arabic with English translation of the Quran is accompanied with a selection of Abul Ala Mawdudis commentary revealing a profound understanding of the Quran and a deep insight into the invaluable exposition of some of the social, political, economic and legal teachings of the Quran.",,Books->General->,10,9.95,9.95,9.95,0.24,,,,9.78086E+12,9780860375104.jpg,Hardback|Abul A'la Mawdudi|2006|1408|The Islamic Foundation,non-taxable,zero-rate
Towards Understanding the Quran Volume 8,"Surah 29 - 32, Al-Ankabut - Al-Sajdah",,Books->General->,10,15.95,15.95,15.95,0.36,,,,9.78086E+12,9780860374367.jpg,Paperback|Abul A'la Mawdudi|2007|240|The Islamic Foundation,non-taxable,zero-rate
Towards Understanding the Quran Volume 9 ,"Surah 33 - 37, Al-Ahzab - As-Saffat.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.27,,,,9.78086E+12,9780860374275.jpg,Paperback|Abul A'la Mawdudi|2009|376|The Islamic Foundation,non-taxable,zero-rate
Towards Understanding the Quran Volume 9 ,"Surah 33 to 37, Al-Ahzab to As-Saffat.",,Books->Children->Fiction - Read Aloud,10,3.95,3.95,3.95,0.25,,,,9.78086E+12,9780860374220.jpg,Hardback|Abul A'la Mawdudi|2009|376|The Islamic Foundation,non-taxable,zero-rate
Towards Understanding the Quran Voumel 8,"Surah 29 - 32, Al-Ankabut - Al-Sajdah",,Books->General,10,11.95,11.95,11.95,0.34,,,,9.78086E+12,9780860374411.jpg,Hardback|Abul A'la Mawdudi|2007|240|The Islamic Foundation,non-taxable,zero-rate
Towards Understanding the Quran: Juz Amma Part 30 ,Surahs 78 - 114 Juz Amma,,Books->Contemporary Politics,10,4.95,4.95,4.95,0.17,,,,9.78086E+12,9780860374435.jpg,Paperback|Abul A'la Mawdudi|2010|416|The Islamic Foundation,non-taxable,zero-rate
Towards Understanding the Quran: Juz Amma Part 30 ,Surahs 78 - 114 Juz Amma,,Books->Contemporary Politics,10,7.99,7.99,7.99,0.3,,,,9.78086E+12,9780860374483.jpg,Hardback|Abul A'la Mawdudi|2010|416|The Islamic Foundation,non-taxable,zero-rate
